"","M=1","M=2","M=3","M=4","M=5","M=6","M=7","M=8","M=9","M=10","M=11","M=12","M=13","M=14","M=15","original_df"
"Food products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Fabricated metal products","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Textiles","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.2"
"Food products1","$1033.54^{***}$","$423.92^{}$","$-109.01^{}$","$-1437.29^{}$","$-2336.69^{}$","$-7325.03^{}$","$-2844.19^{}$","$-11229.29^{}$","$-2757.5^{}$","$-1350.95^{}$","0","0","0","0","0","df.3"
"21","315.26","-691.24","-1093.1","-1240.74","-1320.84","-1377.11","-1405.98","-1409.28","-1453.29","-1355.39","0","0","0","0","0","df.3"
"31","380.69","-555.71","-887.48","-965.02","-975.02","-961.19","-919.96","-853.16","-827.07","-659.07","0","0","0","0","0","df.3"
"Fabricated metal products1","$215.59^{***}$","$105.88^{***}$","$38.82^{}$","$5.35^{}$","$-307.38^{}$","$-504.78^{}$","$-552.27^{}$","$-621.63^{}$","$-1080.79^{}$","$-979.26^{}$","0","0","0","0","0","df.3"
"51","629.24","442.45","363.91","328.92","312.33","288.07","278.79","258.76","252.61","251.43","0","0","0","0","0","df.3"
"61","677.07","541.52","514.22","530.47","565.12","592.11","634.07","665.28","710.37","760.43","0","0","0","0","0","df.3"
"Textiles1","$233.09^{***}$","$106.32^{***}$","$-348.88^{}$","$-243.73^{}$","$-696.34^{}$","$-443.93^{}$","$-1020.84^{}$","$-812.13^{}$","$-955.37^{}$","$-945.14^{}$","0","0","0","0","0","df.3"
"81","464.63","261.19","160.85","124.94","71.72","52.26","3.38","38.59","43.03","-10.41","0","0","0","0","0","df.3"
"91","510.53","356.25","305.09","318.35","314.3","344.02","344.3","428.69","482.3","478.03","0","0","0","0","0","df.3"
"Food products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"22","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Fabricated metal products2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"62","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Textiles2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.4"
"Food products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"33","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Fabricated metal products3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"Textiles3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"83","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
"93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","df.5"
